변수명,변수 설명,변수값 설명
Q11,문11. 현재 살고 계신 주택을 어떻게 마련하셨습니까?,1. 신규주택 분양 또는 구입(재건축 포함)
,,2. 기존주택 구입
,,3. 개인주택을 신축
,,4. 증여나 상속
,,5. 기타
Q12_1,문12. 현재 살고 계신 주택의 가격은 얼마입니까? - 현재 주택가격(만원),9999999. 모름/무응답
Q12_2,문12. 현재 살고 계신 주택의 가격은 얼마입니까? - 매입/증여/상속 당시 주택가격(만원),9999999. 모름/무응답
Q13_1,문13. 현재 살고 계신 주택의 구입자금을 어떻게 마련하셨습니까? 1) 자기자금(만원),9999999. 모름/무응답
Q13_2,문13. 현재 살고 계신 주택의 구입자금을 어떻게 마련하셨습니까? 2) 금융기관에서 융자받은 금액(만원),9999999. 모름/무응답
Q13_3,문13. 현재 살고 계신 주택의 구입자금을 어떻게 마련하셨습니까? 3) 금융기관 외 다른 곳에서 빌린 금액(만원),9999999. 모름/무응답
Q13_4,"문13. 현재 살고 계신 주택의 구입자금을 어떻게 마련하셨습니까? 4) 부모, 친지 등으로부터 무상으로 받은 금액(만원)",9999999. 모름/무응답
Q14_1,문14. 현재 살고 계신 임대주택은 어떤 유형입니까?_1) 유형,1. 민간임대주택
,,2. 공공임대주택
,,3. 분양전환공공임대주택
,,4. 기타임대주택
Q14_1_O,(TEXT) 문14. (기타오픈) 현재 살고 계신 임대주택은 어떤 유형입니까?_1) 유형,
Q14_2_1,문14. 현재 살고 계신 임대주택은 어떤 유형입니까?_2) 공공임대주택_세부유형,1. 영구임대주택
,,2. 국민임대주택
,,3. 행복주택
,,4. 장기전세주택
,,5. 기존주택 매입/전세임대
,,6. 기타
Q14_2_1_O,(TEXT) 문14. (기타오픈) 현재 살고 계신 임대주택은 어떤 유형입니까?_2) 공공임대주택_세부유형,
Q15_A1,문15. 현재 살고 계신 주택의 임차료는 얼마입니까?_보증금(만원),9999999. 모름/무응답
Q15_B1,문15. 현재 살고 계신 주택의 임차료는 얼마입니까?_월세(만원),9999999. 모름/무응답
Q15_A,문15. 현재 살고 계신 주택의 임차료는 얼마입니까?_전세보증금,9999999. 모름/무응답
Q15_B_1,문15. 현재 살고 계신 주택의 임차료는 얼마입니까?_보증금 있는 월세_보증금,9999999. 모름/무응답
Q15_B_2,문15. 현재 살고 계신 주택의 임차료는 얼마입니까?_보증금 있는 월세_월세,9999999. 모름/무응답
Q15_C,문15. 현재 살고 계신 주택의 임차료는 얼마입니까?_보증금 없는 월세(사글세/연세/일세 포함)_월세,9999999. 모름/무응답
Q15_1,문15-1. 최근 5년 이내 현재 살고 계신 주택에서 재계약한 적이 있었습니까?,1. 예
,,2. 아니오
Q15_1_1,"문15-1-1. 최근 5년 이내 현재 살고 계신 주택에서 재계약하셨을 때, 보증금 및 임차료 계약 내용이 변경되었습니까?",1. 예
,,2. 아니오
Q15_1_2_A1_Y,문15-1-2. 현재주택의 보증금 및 임차료는 어떻게 변동되었습니까?_현재 계약_계약시점(년)_(임차료 변경 있는 경우),
Q15_1_2_A1_M,문15-1-2. 현재주택의 보증금 및 임차료는 어떻게 변동되었습니까?_현재 계약_계약시점(월)_(임차료 변경 있는 경우),
Q15_1_2_A2,문15-1-2. 현재주택의 보증금 및 임차료는 어떻게 변동되었습니까?_현재 계약_보증금(만원)_(임차료 변경 있는 경우),9999999. 모름/무응답
Q15_1_2_A3,문15-1-2. 현재주택의 보증금 및 임차료는 어떻게 변동되었습니까?_현재 계약_월세(만원)_(임차료 변경 있는 경우),9999999. 모름/무응답
Q15_1_2_B1_Y,문15-1-2. 현재주택의 보증금 및 임차료는 어떻게 변동되었습니까?_직전 계약_계약시점(년)_(임차료 변경 있는 경우),
Q15_1_2_B1_M,문15-1-2. 현재주택의 보증금 및 임차료는 어떻게 변동되었습니까?_직전 계약_계약시점(월)_(임차료 변경 있는 경우),
Q15_1_2_B2,문15-1-2. 현재주택의 보증금 및 임차료는 어떻게 변동되었습니까?_직전 계약_보증금(만원)_(임차료 변경 있는 경우),9999999. 모름/무응답
Q15_1_2_B3,문15-1-2. 현재주택의 보증금 및 임차료는 어떻게 변동되었습니까?_직전 계약_월세(만원)_(임차료 변경 있는 경우),9999999. 모름/무응답
Q15_1_3_A1_Y,문15-1-3. 현재주택의 보증금 및 임차료는 어떻게 변동되었습니까?_현재 계약_계약시점(년)_(임차료 변경 없는 경우),
Q15_1_3_A1_M,문15-1-3. 현재주택의 보증금 및 임차료는 어떻게 변동되었습니까?_현재 계약_계약시점(월)_(임차료 변경 없는 경우),
Q15_1_3_B1_Y,문15-1-3. 현재주택의 보증금 및 임차료는 어떻게 변동되었습니까?_직전 계약_계약시점(년)_(임차료 변경 없는 경우),
Q15_1_3_B1_M,문15-1-3. 현재주택의 보증금 및 임차료는 어떻게 변동되었습니까?_직전 계약_계약시점(월)_(임차료 변경 없는 경우),
Q15_2,"문15-2. 귀 가구는 현재 거주하는 주택의 임대료 인상을 요구 받을 경우, 어떻게 하실 것 같습니까?",1. 인상수준을 보고 결정할 것이다
,,2. 인상 금액과 상관없이 다른 주택으로 옮길 것이다
Q15_2_A1,문15-2-1. 이 집에서 계속 살기 위해 현재 임차료에서 얼마까지 더 낼 수 있습니까?_전세_전세보증금 추가(만원),9999999. 모름/무응답
Q15_2_B1,문15-2-1. 이 집에서 계속 살기 위해 현재 임차료에서 얼마까지 더 낼 수 있습니까?_보증금 있는 월세_보증금 추가(만원),9999999. 모름/무응답
Q15_2_B2,문15-2-1. 이 집에서 계속 살기 위해 현재 임차료에서 얼마까지 더 낼 수 있습니까?_보증금 있는 월세_월세 추가(만원),9999999. 모름/무응답
Q15_2_C1,문15-2-1. 이 집에서 계속 살기 위해 현재 임차료에서 얼마까지 더 낼 수 있습니까?_보증금 없는 월세_월세 추가(만원),9999999. 모름/무응답
Q16_1,문16. 현재 살고 계신 주택 임차자금을 어떻게 마련하셨습니까? 1) 자기자금(만원),9999999. 모름/무응답
Q16_2,문16. 현재 살고 계신 주택 임차자금을 어떻게 마련하셨습니까? 2) 금융기관에서 융자받은 금액(만원),9999999. 모름/무응답
Q16_3,문16. 현재 살고 계신 주택 임차자금을 어떻게 마련하셨습니까? 3) 금융기관 외 다른 곳에서 빌린 금액(만원),9999999. 모름/무응답
Q16_4,"문16. 현재 살고 계신 주택 임차자금을 어떻게 마련하셨습니까? 4) 부모, 친지 등으로부터 무상으로 받은 금액(만원)",9999999. 모름/무응답
Q17_1,문17. 전세 또는 월세로 살면서 느끼는 불안감_1)계약기간 중 집주인이 나가달라고 요구하는 경우에 대한 불안감,1. 매우불안함
,,2. 조금불안함
,,3. 별로불안하지않음
,,4. 전혀불안하지않음
Q17_2,문17. 전세 또는 월세로 살면서 느끼는 불안감_2)계약기간 만료 후 집주인의 재계약 거부에 대한 불안감,1. 매우불안함
,,2. 조금불안함
,,3. 별로불안하지않음
,,4. 전혀불안하지않음
Q17_3,문17. 전세 또는 월세로 살면서 느끼는 불안감_3)재계약 시 상승할 임대료 또는 전세의 월세 전환에 대한 불안감,1. 매우불안함
,,2. 조금불안함
,,3. 별로불안하지않음
,,4. 전혀불안하지않음
Q17_4,문17. 전세 또는 월세로 살면서 느끼는 불안감_4)임대보증금을 돌려받지 못할 수도 있다는 불안감,1. 매우불안함
,,2. 조금불안함
,,3. 별로불안하지않음
,,4. 전혀불안하지않음
Q17_1_1,"문17-1. (전세, 보증금 있는 월세에 거주하고 있는 임차가구 응답) 현재 살고 계신 주택의 임차보증금 보호를 위해 어떤 방법을 사용하고 있습니까? 사용하고 계신 방법을 모두 골라 주십시오.",1. 확정일자 발급
,,2. 전세권 설정
,,3. 보증금 보험상품 가입
,,4. 기타
,,5. 없음
Q17_1_1_M2,"(M)2 문17-1. (전세, 보증금 있는 월세에 거주하고 있는 임차가구 응답) 현재 살고 계신 주택의 임차보증금 보호를 위해 어떤 방법을 사용하고 있습니까? 사용하고 계신 방법을 모두 골라 주십시오.",1. 확정일자 발급
,,2. 전세권 설정
,,3. 보증금 보험상품 가입
,,4. 기타
,,5. 없음
Q17_1_1_M3,"(M)3 문17-1. (전세, 보증금 있는 월세에 거주하고 있는 임차가구 응답) 현재 살고 계신 주택의 임차보증금 보호를 위해 어떤 방법을 사용하고 있습니까? 사용하고 계신 방법을 모두 골라 주십시오.",1. 확정일자 발급
,,2. 전세권 설정
,,3. 보증금 보험상품 가입
,,4. 기타
,,5. 없음
Q17_1_1_M4,"(M)4 문17-1. (전세, 보증금 있는 월세에 거주하고 있는 임차가구 응답) 현재 살고 계신 주택의 임차보증금 보호를 위해 어떤 방법을 사용하고 있습니까? 사용하고 계신 방법을 모두 골라 주십시오.",1. 확정일자 발급
,,2. 전세권 설정
,,3. 보증금 보험상품 가입
,,4. 기타
,,5. 없음
Q17_1_1_M5,"(M)5 문17-1. (전세, 보증금 있는 월세에 거주하고 있는 임차가구 응답) 현재 살고 계신 주택의 임차보증금 보호를 위해 어떤 방법을 사용하고 있습니까? 사용하고 계신 방법을 모두 골라 주십시오.",1. 확정일자 발급
,,2. 전세권 설정
,,3. 보증금 보험상품 가입
,,4. 기타
,,5. 없음
Q17_1_1O,"(TEXT) 문17-1. (기타 오픈)(전세, 보증금 있는 월세에 거주하고 있는 임차가구 응답) 현재 살고 계신 주택의 임차보증금 보호를 위해 어떤 방법을 사용하고 있습니까? 사용하고 계신 방법을 모두 골",
Q18,문18. 현재 거주하고 있는 주택의 임차료나 대출금을 매월 상환하는 것이 어느 정도 부담이 되십니까?,1. 매우 부담됨
,,2. 조금 부담됨
,,3. 별로 부담되지 않음
,,4. 전혀 부담되지 않음
,,5. 해당없음
Q19,문19. 현재 살고 계신 주택은 언제 지어졌습니까?,1. 2020년 1월 이후
,,2. 2017~2019년(건축연도 3~5년)
,,3. 2012~2016년(건축연도 6~10년)
,,4. 2007~2011년(건축연도 11~15년)
,,5. 2002~2006년(건축연도 16~20년)
,,6. 1997~2001년(건축연도 21~25년)
,,7. 1992~1996년(건축연도 26~30년)
,,8. 1991년 이전(건축연도 30년 초과)
,,9. 잘 모르겠음
Q20,문20. 귀 댁의 주택 구조는 어떻습니까?,1. 원룸형
,,2. 원룸형 아님
Q20_1,문20-1. 귀 댁의 주택은 입주당시부터 기본적인 가구 및 가전제품 등이 갖추어져 있었습니까?,1. 예
,,2. 아니오
Q20_2_1,"문20-2. 귀 댁의 방, 거실, 식당 수는 몇 개입니까?_1) 방",
Q20_2_2,"문20-2. 귀 댁의 방, 거실, 식당 수는 몇 개입니까? _2) 거실(대청마루)",
Q20_2_3,"문20-2. 귀 댁의 방, 거실, 식당 수는 몇 개입니까? _3) 식당(부엌이 딸린 식당 포함)",
Q21_1_A,문21. 귀 댁이 거주하시는 곳의 주택면적은 얼마입니까?_1)주택사용면적(전용면적)_평,9999999. 모름/무응답
Q21_1_B,문21. 귀 댁이 거주하시는 곳의 주택면적은 얼마입니까?_1)주택사용면적(전용면적)_㎡,9999999. 모름/무응답
Q21_2_A,문21. 귀 댁이 거주하시는 곳의 주택면적은 얼마입니까?_2)주택총면적(연면적)_평,9999999. 모름/무응답
Q21_2_B,문21. 귀 댁이 거주하시는 곳의 주택면적은 얼마입니까?_2)주택총면적(연면적)_㎡,9999999. 모름/무응답
Q21_3_A,문21. 귀 댁이 거주하시는 곳의 주택면적은 얼마입니까?_3)대지총면적_평,9999999. 모름/무응답
Q21_3_B,문21. 귀 댁이 거주하시는 곳의 주택면적은 얼마입니까?_3)대지총면적_㎡,9999999. 모름/무응답
Q22_1_1,문22-1-1. 귀댁의 주택 내부 시설 사용형태는 어떻습니까?_1)부엌_(1)사용 형태,1. 단독사용
,,2. 공동사용
,,3. 없음
Q22_1_2,문22-1-2. 귀댁의 주택 내부 시설 사용형태는 어떻습니까?_1)부엌_(2)종류,1. 입식
,,2. 재래식
Q22_2_1,문22-2-1. 귀댁의 주택 내부 시설 사용형태는 어떻습니까?_2)화장실_(1)사용 형태,1. 단독사용
,,2. 공동사용
,,3. 없음
Q22_2_2,문22-2-2. 귀댁의 주택 내부 시설 사용형태는 어떻습니까?_2)화장실_(2)종류,1. 수세식
,,2. 재래식
Q22_2_3,문22-2-3. 귀댁의 주택 내부 시설 사용형태는 어떻습니까?_2)화장실_(3)양변기 설치유무,1. 서양식양변기가 설치되어 있음
,,2. 서양식양변기가 설치되어 있지 않음
Q22_3_1,문22-3-1. 귀댁의 주택 내부 시설 사용형태는 어떻습니까?_3)목욕시설_(1)사용 형태,1. 단독사용
,,2. 공동사용
,,3. 없음
Q22_3_2,문22-3-2. 귀댁의 주택 내부 시설 사용형태는 어떻습니까?_3)목욕시설_(2)종류,1. 온수
,,2. 비온수
Q22_4_1,문22-4-1. 귀댁의 주택 내부 시설 사용형태는 어떻습니까?_4)상수도시설_(1)사용 형태,1. 연결되어 있음 (※ 수질이 양호한 지하수 이용시설 완비도 포함)
,,2. 연결되어 있지 않음
Q22_5_1,문22-5-1. 귀댁의 주택 내부 시설 사용형태는 어떻습니까?_5)하수 시설(정화조)_(1)사용 형태,1. 설치되어 있음
,,2. 설치되어 있지 않음
Q22_6_1,문22-6-1. 귀댁의 주택 내부 시설 사용형태는 어떻습니까?_6)난방시설_(1)사용 형태,1. 설치되어 있음
,,2. 설치되어 있지 않음
Q22_6_2,문22-6-2. 귀댁의 주택 내부 시설 사용형태는 어떻습니까?_6)난방시설_(2)종류,1. 중앙난방
,,2. 지역난방
,,3. 개별 기름보일러
,,"4. 개별 가스(도시가스, 프로판가스) 보일러"
,,"5. 개별 전기(보일러, 패널, 태양열, 지열 등) 보일러"
,,6. 개별 연탄보일러
,,"7. 기타(연탄ㆍ장작 등 재래식 아궁이, 대형 전기히터 등)"
Q22_7_1,문22-7-1. 귀댁의 주택 내부 시설 사용형태는 어떻습니까?_(7)취사연료_(1)사용 형태,1. 설치되어 있음
,,2. 설치되어 있지 않음
Q22_7_2,문22-7-2. 귀댁의 주택 내부 시설 사용형태는 어떻습니까?_(7)취사연료_(2)종류,1. 도시가스
,,2. 기름(석유 등)
,,3. 프로판가스(LPG)
,,"4. 전기(태영열, 지열 포함)"
,,5. 연탄
,,6. 기타(장작 등)
Q22_8_1,문22-8-1. 귀댁의 주택 내부 시설 사용형태는 어떻습니까?_(8)출입구(현관문)_(1)사용 형태,1. 단독사용
,,2. 공동사용
Q22_9_1,문22-9-1. 귀댁의 주택 내부 시설 사용형태는 어떻습니까?_(9)소방기구_(1)사용 형태,1. 설치되어 있음
,,2. 설치되어 있지 않음
Q22_9_2_1,문22-9-2. 귀 댁의 주택 내부 시설 사용형태는 어떻습니까? 9) 소방기구 종류별 설치 여부 에 대해 응답해주십시오.  - 소화기,1. 있음
,,2. 없음
Q22_9_2_2,문22-9-2. 귀 댁의 주택 내부 시설 사용형태는 어떻습니까? 9) 소방기구 종류별 설치 여부 에 대해 응답해주십시오.  - 화재경보기,1. 있음
,,2. 없음
Q22_9_2_3,문22-9-2. 귀 댁의 주택 내부 시설 사용형태는 어떻습니까? 9) 소방기구 종류별 설치 여부 에 대해 응답해주십시오.  - 소화전,1. 있음
,,2. 없음
Q22_9_2_4,문22-9-2. 귀 댁의 주택 내부 시설 사용형태는 어떻습니까? 9) 소방기구 종류별 설치 여부 에 대해 응답해주십시오.  - 기타(스프링클러 등),1. 있음
,,2. 없음
Q23_1,"문23. 현재주택 상태 만족도_1) 집의 구조물(견고, 균열 상태)",1. 불량
,,2. 조금불량
,,3. 조금양호
,,4. 양호
Q23_2,문23. 현재주택 상태 만족도_2) 방수 상태(습기가 많거나 빗물이 새는 정도),1. 불량
,,2. 조금불량
,,3. 조금양호
,,4. 양호
Q23_3,문23. 현재주택 상태 만족도_3) 난방 상태 및 단열 상태,1. 불량
,,2. 조금불량
,,3. 조금양호
,,4. 양호
Q23_4,"문23. 현재주택 상태 만족도_4) 환기 상태(창문 개폐 여부, 통풍 상태)",1. 불량
,,2. 조금불량
,,3. 조금양호
,,4. 양호
Q23_5,문23. 현재주택 상태 만족도_5) 채광 상태,1. 불량
,,2. 조금불량
,,3. 조금양호
,,4. 양호
Q23_6_1,"문23. 현재주택 상태 만족도_6-1) 주택 외부 소음(차량 경적, 공사장 소음 등)",1. 불량
,,2. 조금불량
,,3. 조금양호
,,4. 양호
Q23_6_2,문23. 현재주택 상태 만족도_6-2) 주택 내부 소음(층간소음 등)(공동주택인 경우만 응답),1. 불량
,,2. 조금불량
,,3. 조금양호
,,4. 양호
Q23_7,"문23. 현재주택 상태 만족도_7) 재난, 재해(산사태나 홍수, 지진 피해 등) 안전성",1. 불량
,,2. 조금불량
,,3. 조금양호
,,4. 양호
Q23_8,"문23. 현재주택 상태 만족도_8) 화재로부터의 안전성(화재예방 전기시설, 화재대피시설 유무)",1. 불량
,,2. 조금불량
,,3. 조금양호
,,4. 양호
Q23_9,문23. 현재주택 상태 만족도_9) 주택 방범상태(외부인의 주택 내 침입에 대한 안전성),1. 불량
,,2. 조금불량
,,3. 조금양호
,,4. 양호
Q23_10,"문23. 현재주택 상태 만족도_10) 주택 위생 상태(악취, 벌레 등)",1. 불량
,,2. 조금불량
,,3. 조금양호
,,4. 양호
Q24_1,문24. 현재주택 주거환경 만족도_1) 상업시설 접근용이성(시장/대형마트/백화점 등),1. 매우불만족
,,2. 약간불만족
,,3. 대체로만족
,,4. 매우만족
Q24_2,문24. 현재주택 주거환경 만족도_2) 의료시설 접근용이성(병원/의료복지시설 등),1. 매우불만족
,,2. 약간불만족
,,3. 대체로만족
,,4. 매우만족
Q24_3,문24. 현재주택 주거환경 만족도_3) 공공기관 접근용이성(시청/읍면동사무소/경찰서 등),1. 매우불만족
,,2. 약간불만족
,,3. 대체로만족
,,4. 매우만족
Q24_4,문24. 현재주택 주거환경 만족도_4) 문화시설 접근용이성(극장/공연장/박물관/미술관 등),1. 매우불만족
,,2. 약간불만족
,,3. 대체로만족
,,4. 매우만족
Q24_5,문24. 현재주택 주거환경 만족도_5) 도시공원 및 녹지 접근용이성(놀이터/공원/녹지/수변 등),1. 매우불만족
,,2. 약간불만족
,,3. 대체로만족
,,4. 매우만족
Q24_6,문24. 현재주택 주거환경 만족도_6) 대중교통 접근용이성(버스/지하철 등),1. 매우불만족
,,2. 약간불만족
,,3. 대체로만족
,,4. 매우만족
Q24_7,문24. 현재주택 주거환경 만족도_7) 주차시설 이용편의성,1. 매우불만족
,,2. 약간불만족
,,3. 대체로만족
,,4. 매우만족
Q24_8,문24. 현재주택 주거환경 만족도_8) 주변도로의 보행 안전,1. 매우불만족
,,2. 약간불만족
,,3. 대체로만족
,,4. 매우만족
Q24_9,문24. 현재주택 주거환경 만족도_9) 교육환경(학교/학원 및 미취학 아동을 위한 시설/서비스 등),1. 매우불만족
,,2. 약간불만족
,,3. 대체로만족
,,4. 매우만족
Q24_10,문24. 현재주택 주거환경 만족도_10) 치안 및 범죄 등 방범 상태,1. 매우불만족
,,2. 약간불만족
,,3. 대체로만족
,,4. 매우만족
Q24_11,"문24. 현재주택 주거환경 만족도_11) 자동차 경적, 집주변의 소음 정도",1. 매우불만족
,,2. 약간불만족
,,3. 대체로만족
,,4. 매우만족
Q24_12,문24. 현재주택 주거환경 만족도_12) 청소 및 쓰레기 처리상태,1. 매우불만족
,,2. 약간불만족
,,3. 대체로만족
,,4. 매우만족
Q24_13,문24. 현재주택 주거환경 만족도_13) 대기오염 정도,1. 매우불만족
,,2. 약간불만족
,,3. 대체로만족
,,4. 매우만족
Q24_14,문24. 현재주택 주거환경 만족도_14) 이웃과의 관계,1. 매우불만족
,,2. 약간불만족
,,3. 대체로만족
,,4. 매우만족
Q25_1,문25. 주택에 대한 전반적인 만족도,1. 매우불만족
,,2. 약간불만족
,,3. 대체로만족
,,4. 매우만족
Q25_2,문25. 주거환경에 대한 전반적인 만족도,1. 매우불만족
,,2. 약간불만족
,,3. 대체로만족
,,4. 매우만족
Q26,문26. 귀 댁의 가구주께서는 가구주가 된 이후 현재주택에 살기 전에 이사한 경험이 있습니까?,1. 있다
,,2. 없다
Q26_1,"문26-1. 귀 댁의 가구주께서 가구주가 된 이후를 기준으로 했을 때, 현재주택에 거주하기까지 몇 번 이사를 하셨습니까?_회",9999999. 모름/무응답
Q27_1,문27. 현재주택으로 이사오기 바로 전에 어디서 사셨습니까?_시도,1. 서울
,,2. 부산
,,3. 대구
,,4. 인천
,,5. 광주
,,6. 대전
,,7. 울산
,,8. 세종
,,9. 경기
,,10. 강원
,,11. 충북
,,12. 충남
,,13. 전북
,,14. 전남
,,15. 경북
,,16. 경남
,,17. 제주
,,18. 국외
Q27_2,문27. 현재주택으로 이사오기 바로 전에 어디서 사셨습니까?_시군구/읍면동,1. 강남구
,,2. 강동구
,,3. 강북구
,,4. 강서구
,,5. 관악구
,,6. 광진구
,,7. 구로구
,,8. 금천구
,,9. 노원구
,,10. 도봉구
,,11. 동대문구
,,12. 동작구
,,13. 마포구
,,14. 서대문구
,,15. 서초구
,,16. 성동구
,,17. 성북구
,,18. 송파구
,,19. 양천구
,,20. 영등포구
,,21. 용산구
,,22. 은평구
,,23. 종로구
,,24. 중구
,,25. 중랑구
,,26. 강서구
,,27. 금정구
,,28. 기장군
,,29. 남구
,,30. 동구
,,31. 동래구
,,32. 부산진구
,,33. 북구
,,34. 사상구
,,35. 사하구
,,36. 서구
,,37. 수영구
,,38. 연제구
,,39. 영도구
,,40. 중구
,,41. 해운대구
,,42. 남구
,,43. 달서구
,,44. 달성군
,,45. 동구
,,46. 북구
,,47. 서구
,,48. 수성구
,,49. 중구
,,50. 강화군
,,51. 계양구
,,52. 남동구
,,53. 동구
,,54. 미추홀구
,,55. 부평구
,,56. 서구
,,57. 연수구
,,58. 옹진군
,,59. 중구
,,60. 광산구
,,61. 남구
,,62. 동구
,,63. 북구
,,64. 서구
,,65. 대덕구
,,66. 동구
,,67. 서구
,,68. 유성구
,,69. 중구
,,70. 남구
,,71. 동구
,,72. 북구
,,73. 울주군
,,74. 중구
,,75. 가평군
,,76. 고양시
,,77. 과천시
,,78. 광명시
,,79. 광주시
,,80. 구리시
,,81. 군포시
,,82. 김포시
,,83. 남양주시
,,84. 동두천시
,,85. 부천시
,,86. 성남시
,,87. 수원시
,,88. 시흥시
,,89. 안산시
,,90. 안성시
,,91. 안양시
,,92. 양주시
,,93. 양평군
,,94. 여주시
,,95. 연천군
,,96. 오산시
,,97. 용인시
,,98. 의왕시
,,99. 의정부시
,,100. 이천시
,,101. 파주시
,,102. 평택시
,,103. 포천시
,,104. 하남시
,,105. 화성시
,,106. 강릉시
,,107. 고성군
,,108. 동해시
,,109. 삼척시
,,110. 속초시
,,111. 양구군
,,112. 양양군
,,113. 영월군
,,114. 원주시
,,115. 인제군
,,116. 정선군
,,117. 철원군
,,118. 춘천시
,,119. 태백시
,,120. 평창군
,,121. 홍천군
,,122. 화천군
,,123. 횡성군
,,124. 괴산군
,,125. 단양군
,,126. 보은군
,,127. 영동군
,,128. 옥천군
,,129. 음성군
,,130. 제천시
,,131. 증평군
,,132. 진천군
,,133. 청주시
,,134. 충주시
,,135. 계룡시
,,136. 공주시
,,137. 금산군
,,138. 논산시
,,139. 당진시
,,140. 보령시
,,141. 부여군
,,142. 서산시
,,143. 서천군
,,144. 아산시
,,145. 예산군
,,146. 천안시
,,147. 청양군
,,148. 태안군
,,149. 홍성군
,,150. 고창군
,,151. 군산시
,,152. 김제시
,,153. 남원시
,,154. 무주군
,,155. 부안군
,,156. 순창군
,,157. 완주군
,,158. 익산시
,,159. 임실군
,,160. 장수군
,,161. 전주시
,,162. 정읍시
,,163. 진안군
,,164. 강진군
,,165. 고흥군
,,166. 곡성군
,,167. 광양시
,,168. 구례군
,,169. 나주시
,,170. 담양군
,,171. 목포시
,,172. 무안군
,,173. 보성군
,,174. 순천시
,,175. 신안군
,,176. 여수시
,,177. 영광군
,,178. 영암군
,,179. 완도군
,,180. 장성군
,,181. 장흥군
,,182. 진도군
,,183. 함평군
,,184. 해남군
