사업대분류명,사업중분류명,사업소분류명,사업명,사업내용,이용대상내용,이용방법내용,운영시간내용,문의처내용,대상아동나이,대상관심,대상지역,자세히보기사이트주소,신청하기사이트주소
일생활균형,경력보유여성 취업지원,경력보유여성 취업 3종세트,우먼업 고용촉진지원금,인턴을 정규채용한 기업에 월100만원*3개월 지급,인턴십 참여기업,공고문에 따른 접수,,1660-3040,"임신?출산,0~2세,3~5세,6~9세,10세 이상",일생활균형,"강남구,강동구,강북구,강서구,관악구,광진구,구로구,금천구,노원구,도봉구,동대문구,동작구,마포구,서대문구,서초구,성동구,성북구,송파구,양천구,영등포구,용산구,은평구,종로구,중구,중랑구",https://www.seoulwomanup.or.kr,https://www.seoulwomanup.or.kr
탄생응원,난임 부부지원 확대,서울형 난임부부 시술비 지원,서울형 난임부부 시술비 지원,난임시술 비용의 본인부담액에 대한 시술별 지원상한액 지원 - 횟수 : 총 25회(누적) - 지원금액: 시술별 1회당 최대 30만원~110만원,- 서울시 모든 난임부부(사실혼 포함),"온라인 또는 보건소 방문 구비서류 제출  - 온라인 : 정부24(www.gov.kr), e보건소 공공포털(www.e-health.go.kr)  - 주소지 보건소 방문",해당없음,- 주소지 보건소 - 120다산콜센터,임신?출산,건강,"강남구,강동구,강북구,강서구,관악구,광진구,구로구,금천구,노원구,도봉구,동대문구,동작구,마포구,서대문구,서초구,성동구,성북구,송파구,양천구,영등포구,용산구,은평구,종로구,중구,중랑구",https://seoul-agi.seoul.go.kr/resource-room/241?curPage=1,.
출산,건강지원, ,산후 우울증 정신건강 서비스,"서울아기 건강첫걸음사업전담간호사가 출산가정을 방문하여 산후우울 검사 및 고위험자 정신건강복지센터 연계, 정신건강 심층상담",출산 전후 2년 이내 임산부,주소지 보건소 '서울아기건강첫걸음사업' 참여 신청,평일 09:00~18:00,주소지 보건소,0세 ~ 2세,출산 - 건강지원,서울시,.,.
육아,수당?급여, ,가정양육수당,"연령별로 월별 10~20만원 지원 ① 일반아동 24~86개월 미만: 100,000원 ② 장애아동 24개월~35개월 : 200,000원 36~86개월 미만: 100,000원 * 부모급여 및 보육료와 중복지급 불가",가정에서 양육하는 24개월 ~ 86개월 미만 초등학교 미취학 아동,"동 주민센터, 복지로에서 신청",,교육부 콜센터(02-6222-6060),2세 ~ 7세,육아 - 수당?급여,서울시,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00003253,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00003253
건강힐링,아이 건강한 식사지원,가정행복 도시락?밀키트 할인,가정행복 도시락?밀키트 할인,"편의점(CU): 30일 할인쿠폰 지급  ※ GS편의점은 2023년 12월 말로 협약이 종료되었습니다. - 도시락&밀키트 등 20% 할인 - 카페음료 25% 할인 오아시스: 금액별 할인쿠폰 지급 - 월 4장 지급, 타 기획전 할인쿠폰 중복 적용 가능(문자 발급 쿠폰 중복 적용 불가능) - 오아시스마켓 배송상품 모두 사용 가능  신청기간 : 매달 20일~27일까지 선착순 접수 (쿠폰 발송일은 신청월 다음달 1일 , 휴일일 경우 2일)",서울시 거주 18세 이하 자녀 1명 이상 있는 가구(조손가구 포함) * 부모(또는 조부모) 1명당 각각 자녀별 신청 가능,"협약사(CU,오아시스)에서 문자로 발송된 쿠폰 번호를 해당 협약사 어플에서 등록 후 사용",(별도로 없음),서울시 가족다문화담당관(02-2133-8689),"임신?출산,0~2세,3~5세,6~9세,10세 이상","보육?돌봄,일생활균형","강남구,강동구,강북구,강서구,관악구,광진구,구로구,금천구,노원구,도봉구,동작구,마포구,서대문구,서초구,성동구,성북구,송파구,양천구,영등포구,용산구,은평구,종로구,중구,중랑구",.,https://umppa.seoul.go.kr/hmpg/hehe/suea/difa/appl/applAgreRegistForm.do
건강힐링,임산부 지원 강화,서울형 산후조리경비 지원,서울형 산모 산후조리경비 지원,"산모 1인당 산후조리경비 100만원 산모 본인 명의 신용(체크)카드에 100만원 바우처 포인트 지급   ※ 단태아 100만원, 쌍태아 200만원, 삼태아 300만원 출산일로부터 60일 이내 신청   ※ ‘23. 7. 1일 부터 ‘23. 8.31일 기간 내 출생아의 경우 ‘23.10.31일까지 신청","서울시에 주민등록을 두고 있는 산모 ※ ’23. 7. 1일 이후 출산한 산모부터 적용 ※ 사전준비사항  - 신청일 현재 신생아의 출생신고가 서울시에 되어 있어야 하며, 아래 카드사의 본인명의의 카드를 소지하고 있어야 바우처 지급이 가능    ? 신한카드(국민행복카드만 가능), 삼성카드, KB국민카드, 우리카드, BC카드(IBK기업은행, 신협, 새마을금고, 우체국)","포인트사용처 ① 산모?신생아 건강관리 서비스 개인부담금의 90%(최대 50만원) 지원 ② 의약품, 한약조제 건강식품 구매 ③ 산후 운동수강 서비스 - (몸건강) 체형교정, 전신마사지, 붓기관리, 탈모관리, 요가, 필라테스 - (마음건강) 산후 우울증 검사 및 상담치료  ※  ①번 서비스 50만원 상당의 바우처 지급, ②+③번 서비스 50만원 상당의 바우처 지급",,온라인 : 서울맘케어 시스템(www.seoulmomcare.com) 오프라인 : 거주지 동주민센터 방문신청,임신?출산,건강,"강남구,강동구,강북구,강서구,관악구,광진구,구로구,금천구,노원구,도봉구,동대문구,동작구,마포구,서대문구,서초구,성동구,성북구,송파구,양천구,영등포구,용산구,은평구,종로구,중구,중랑구",https://www.seoulmomcare.com/notice/pcGuide.do,.
안심돌봄,공보육?초등돌봄 시설 확충,초등돌봄 공적 인프라 확충,지역아동센터,"아동보호(일상생활, 학습지도, 급식제공), 정서지원, 문화체험활동 등 돌봄 제공","18세미만 아동(초,중,고등학생)","동주민센터, 해당지역아동센터에 돌봄서비스 신청",09:00~20:00(평일-센터별 상이),동주민센터,"0~2세,3~5세,6~9세,10세 이상",보육?돌봄,"강남구,강동구,강북구,강서구,관악구,광진구,구로구,금천구,노원구,도봉구,동대문구,동작구,마포구,서대문구,서초구,성동구,성북구,송파구,양천구,영등포구,용산구,은평구,종로구,중구,중랑구",https://icare.seoul.go.kr/icare/user/fcltyInfoManage/BD_selectLocalCenterContactList.do?q_tap=1,.
임신(준비),건강지원, ,행복맘 지원 손목닥터9988 운영,스마트워치와 전용 앱을 통한 건강관리 서비스 제공,’24년도 출산 경험이 있는 서울시민,"특별모집 신청 시기(잠정 ’24.8월)에 손목닥터9988 앱 또는 홈페이지 통해 신규 회원가입 후 배송된 스마트워치와 앱 연동하여 서비스 이용 ※ 휴대폰 앱 또는 개인워치(갤럭시, 애플)로 참여 희망자는 상시 모집 중",,손목닥터 9988 고객센터 (1811-9988),연령무관,임신(준비) - 건강지원,서울시,https://onhealth.seoul.go.kr/,https://onhealth.seoul.go.kr/
육아,돌봄인프라, ,휴일보육,일요일 및 공휴일(토요일 제외) 보육서비스 제공,어린이집을 이용중인 영유아,"해당어린이집 전화접수(기존 교사의 당직근무로 운영하므로, 교사배치 가능여부 사전협의 필요)",일요일 및 공휴일(토요일 제외) 07:30~19:30(어린이집에 따라 운영시간 다를 수 있음),서울시 영유아담당관(02-2133-5116),0세 ~ 5세,육아 - 돌봄인프라,서울시,https://iseoul.seoul.go.kr/portal/reservation/holi_info.do,https://iseoul.seoul.go.kr/portal/reservation/holidayList.do
안심돌봄,돌봄공백지원,영유아 긴급보육 서비스,시간제 보육,만6개월~36개월 부모급여 또는 양육수당 수급 아동대상 시간제보육 지원,만6개월~36개월 미만 아동,시간제 보육 아동으로 임신육아종합포털 아이사랑(보건복지부) www.childcare.go.kr 사전등록 후 사전예약 또는 당일 신청,09:00~18:00,서울시육아종합지원센터(02-772-9814~9),0~2세,보육?돌봄,"강남구,강동구,강북구,강서구,관악구,광진구,구로구,금천구,노원구,도봉구,동대문구,동작구,마포구,서대문구,서초구,성동구,성북구,송파구,양천구,영등포구,용산구,은평구,종로구,중구,중랑구",https://www.childcare.go.kr/,https://www.childcare.go.kr/
일생활균형,일생활 균형문화 확산,서울형 육아휴직장려금,육아휴직장려금,"○ 1인 최대 120만원 지원     - 육아휴직기간 연속 6개월 시 60만원, 연속 12개월 경과 시 60만원 추가지급      ※ 부?모 동시 육아휴직 시 각각 지급 (자녀 1인에 대해 가구당 최대 240만원 지급)",○ 신청일 기준 서울시에 1년 이상 계속해서 주민등록한 자(아래 조건 모두 충족 시)     - 기준 중위소득 150%이하(서울형 육아휴직 장려금 공지사항 필독)      ※ 건강보험료 본인부담금 납부액(장기요양보험료 제외)을 기준으로 월평균 가구소득 금액 산정      <span	class='color_red'>※ 고용보험 가입 후 2023.1.1.~2023.12.31. 중 육아휴직을 시작하여 육아휴직 급여를 6개월 이상 연속 수급한 자에 한해 2024.12.15.까지 신청 가능 </span>      <span	class='color_red'>※ 2022년 또는 2024년에 육아휴직을 시작한 자는 지급 불가능</span>,○ 신청방법: 온라인 신청(동주민센터 방문신청 불가) ○ 문의사항: 거주지 동주민센터 또는 서울특별시 다산콜재단(☎120),연중,120 다산콜재단 및 동주민센터,임신?출산,"수당?급여,일생활균형","강남구,강동구,강북구,강서구,관악구,광진구,구로구,금천구,노원구,도봉구,동대문구,동작구,마포구,서대문구,서초구,성동구,성북구,송파구,양천구,영등포구,용산구,은평구,종로구,중구,중랑구",.,https://umppa.seoul.go.kr/hmpg/liba/spba/sein/appl/applSelfRegistForm.do
안심돌봄,돌봄공백지원,서울형 틈새 아이돌봄 3종 서비스,병원동행 전담 아이돌봄서비스,부모의 맞벌이 등으로 아픈 자녀의 병원 동행을 할 수 없는 경우 아이돌보미가 병원 동행 및 가정 내 돌봄 서비스 제공,"비전염성 질병 감염, 예방접종, 정기검진 등으로 병원 내원이 필요한 양육공백 가정의 만 12세 이하 아동",아이돌봄서비스 (https://www.idolbom.go.kr/)에서 신청가능하며 이용가정의 상황에 맞춰 서비스제공기관(자치구 가족센터 등)에서 전담 돌보미를 연계,제한없음,서울시 아이돌봄담당관(02-2133-4812),"0~2세,3~5세,6~9세,10세 이상","보육?돌봄,건강","강남구,강동구,강북구,강서구,관악구,광진구,구로구,금천구,노원구,도봉구,동대문구,동작구,마포구,서대문구,서초구,성동구,성북구,송파구,양천구,영등포구,용산구,은평구,종로구,중구,중랑구",https://icare.seoul.go.kr/icare/dolbomMENU2/dolbomMENU2_3/dolbomMENU2_3_1.jsp,https://www.idolbom.go.kr/front/login
출산,건강지원, ,서울권역 난임?우울증 상담센터 운영,"난임부부, 유산?사산 경험부부, 임산부 및 양육모의 정서적 안정을 위해 전담 상담사가 등록부터 종결까지 1:1 상담 및 다양한 프로그램을 운영","난임부부, 유산?사산 경험부부, 임산부 및 양육모",센터 방문전 전화로 문의 및 상담 예약 필수  (1:1 상담으로 상담시간이 길어 질 수 있음),평일 ( 09:00~17:00 ),강남센터(강남세브란스병원 2동 3층) : 02-2019-4581 송파센터(가든파이브 영관 8층) : 02-6956-6248 보라매센터(전문건설회관 28층): 02-870-3617 금천구지역센터(뉴연세여성의원 10층):02-895-1002,연령무관,출산 - 건강지원,서울시,https://www.mindcare-for-family.kr/,.
육아,돌봄인프라, ,초등돌봄시설 공공성 강화(지역아동센터),"돌봄, 교육 및 일부 급?간식비 지원",초등학교 1학년 ~ 6학년,서울시우리동네키움포털에 온라인 신청,09:00~20:00(평일-센터별 상이),"해당지역아동센터, 구청, 서울시 아동담당관(02-2133-5179)",6세 ~ 12세,육아 - 돌봄인프라,서울시,https://icare.seoul.go.kr/icare/user/fcltyInfoManage/BD_selectLocalCenterContactList.do?q_tap=1,.
양육,돌봄인프라, ,서울형 0세 전담반 어린이집,12개월 미만의 영아 보육에 적합한 ‘0세 전담반’  어린이집 100개반 선정 운영,생후 12개월 미만 어린이집 보육아동,어린이집 입소 신청 및 등록,07:30~19:30,0세전담반 운영 어린이집 (서울시 보육포털-보육정보-우리동네어린이집),0세 ~ 1세,양육 - 돌봄인프라,서울시,https://iseoul.seoul.go.kr,.
육아,돌봄인프라, ,서울형 0세 전담반 어린이집(사업종료),12개월 미만의 영아 보육에 적합한 ‘0세 전담반’  어린이집 100개반 선정 운영,생후 12개월 미만 어린이집 보육아동,어린이집 입소 신청 및 등록,07:30~19:30,0세전담반 운영 어린이집 (서울시 보육포털-보육정보-우리동네어린이집),0세 ~ 1세,육아 - 돌봄인프라,서울시,https://iseoul.seoul.go.kr,.
안심돌봄,돌봄공백지원,서울형 틈새 아이돌봄 3종 서비스,아픈아이 전담 아이돌봄서비스,"부모의 맞벌이 등으로 아픈 자녀의 병원 동행을 할 수 없는 경우 아이돌보미가 병원 동행 및 가정 내 돌봄 서비스 제공('23년은 5개구 시범운영 중 : 성동, 동대문, 강북, 강서, 서초)","비전염성 질병 감염, 예방접종, 정기검진 등으로 병원 내원이 필요한 양육공백 가정의 만 12세 이하 아동",아이돌봄서비스 (https://www.idolbom.go.kr/)에서 신청가능하며 이용가정의 상황에 맞춰 서비스제공기관(자치구 가족센터 등)에서 전담 돌보미를 연계,제한없음,서울시 아이돌봄담당관(02-2133-4812),"0~2세,3~5세,6~9세,10세 이상","보육?돌봄,건강","강남구,강동구,강북구,강서구,관악구,광진구,구로구,금천구,노원구,도봉구,동대문구,동작구,마포구,서대문구,서초구,성동구,성북구,송파구,양천구,영등포구,용산구,은평구,종로구,중구,중랑구",https://icare.seoul.go.kr/icare/dolbomMENU2/dolbomMENU2_3/dolbomMENU2_3_1.jsp,https://www.idolbom.go.kr/front/login
양육,가사지원, ,외국인 가사관리사 시범사업,"서울지역 맞벌이 가구 등을 대상으로 외국인 가사관리사가 양육가정의 가사와 육아를 제공하는 서비스 - (서비스 유형) 시간제(4?6시간), 종일제(8시간)    * 이용가능일 : 월~금, 이용가능시간 : 08:00~20:00 - (서비스 내용) 외국인 가사관리사가 출퇴근 하면서 자녀돌봄 및 그와 관련된 가사활동 제공","만 12세(2011.7.18.이후 출생)이하 자녀를 두었거나 출산예정인 가정 ※ 한부모, 다자녀, 맞벌이, 임신부가 있는 가정 우선 이용자 선정","서비스 제공기관 홈페이지(혼스토리생활, 휴브리스)에서 신청(‘24.8월 예정)","2024.9월초~2025년 2월말, 6개월","서울시 가족담당관(2133-6545, 6547)",0세 ~ 12세,양육 - 가사지원,서울시,https://umppa.seoul.go.kr/hmpg/chpo/noti/bordContDetail.do?mode=W&bbs_no=1&pst_no=1D54BCF35A2A35A3E063A602216284C6,.
육아,돌봄지원, ,영아 전담 아이돌봄서비스,"출산휴가, 육아휴직 후 복귀하는 맞벌이 가정을 지원하고자 영아 돌봄 교육을 이수한 전담 돌보미가 영아 이유식 먹이기, 젖병 소독 등 영아 특화 돌봄서비스 제공",양육공백 가정의 만 36개월 이하 아동,아이돌봄서비스 (https://www.idolbom.go.kr/)에서 신청가능하며 이용가정의 상황에 맞춰 서비스제공기관(자치구 가족센터 등)에서 전담 돌보미를 연계,제한없음,"서울시 가족담당관(02-2133-6558), 가까운 자치구 서비스제공기관(자치구 가족센터 등) 연결(1577-2514)",0세 ~ 3세,육아 - 돌봄지원,서울시,https://icare.seoul.go.kr/icare/dolbomMENU2/dolbomMENU2_3/dolbomMENU2_3_1.jsp,https://www.idolbom.go.kr/front/login
건강힐링,임산부 지원 강화,35세 이상 산모 검사비 지원,35세 이상 산모 검사비 지원,35세 이상 산모 검사비 등 1인당 최대 100만원까지 지원 (사회보장제도 신설 협의중으로 확정시 재안내 예정),서울시 거주 35세 이상 산모,검사 후 관련 서류를 첨부하여 몽땅정보 만능키에서 신청,,02-120,임신?출산,"임신?출산 준비,건강","강남구,강동구,강북구,강서구,관악구,광진구,구로구,금천구,노원구,도봉구,동대문구,동작구,마포구,서대문구,서초구,성동구,성북구,송파구,양천구,영등포구,용산구,은평구,종로구,중구,중랑구",.,.
임신(준비),임신준비지원, ,서울시 남녀 임신준비 지원(건강관리 프로그램),"? 가임기 남녀 대상 엽산제 지원 및 건강검진(일반검진 및  ? 생식기능검사(남성 정액검사, 여성 난소기능검사) 지원",서울시 가임기 남녀,(민원)서울시 임신출산정보센터(사이트) 온라인 신청  및 예약일에 해당보건소 방문,연중(평일-보건소별 상이),주소지 보건소 사업담당 부서,연령무관,임신(준비) - 임신준비지원,서울시,https://seoul-agi.seoul.go.kr/pregnancy-preparation-application,https://seoul-agi.seoul.go.kr/pregnancy-preparation-application
육아,수당?급여, ,청소년 부모 양육비 지원 확대,자녀 1명당 아동양육비 월 20만원 추가 지원,기준 중위소득 90% 이하 청소년부모 가구의 자녀,거주 중인 자치구 동주민센터 신청,,서울시 가족담당관(02-2133-6563),연령무관,육아 - 수당?급여,서울시,.,.
건강힐링,임산부 지원 강화,출산맘 몸?마음 토탈케어,행복맘 지원 건강 플랫폼 운영,스마트워치와 전용 앱을 통한 건강관리 서비스 제공,2022년 1월 1일 이후 출산 경험이 있는 서울시민,별도 사업 신청 시기(23년 8월 28일부터)에 홈페이지를 통한 온라인 신청(선착순) 후 스마트워치와 전용 앱을 연결하여 서비스 이용,,손목닥터 9988 고객센터 (1811-9988),임신?출산,건강,"강남구,강동구,강북구,강서구,관악구,광진구,구로구,금천구,노원구,도봉구,동대문구,동작구,마포구,서대문구,서초구,성동구,성북구,송파구,양천구,영등포구,용산구,은평구,종로구,중구,중랑구",https://onhealth.seoul.go.kr/,https://onhealth.seoul.go.kr/
양육,돌봄인프라, ,육아 지원 코디네이터 운영,"양육자 및 예비 양육자 대상 맞춤형 육아정보 제공 및 육아자원 발굴?연계, 육아상담 등 지원",만5세 이하 영유아 양육가정 및 출산예정 가정,"본 사업은 2023년에 종료되었으며, 2024년에 개편될 예정입니다.",,"다산콜센터(120번→3번),  자치구 육아종합지원센터",0세 ~ 5세,양육 - 돌봄인프라,서울시,.,.
안심돌봄,공보육?초등돌봄 시설 확충,초등돌봄 공적 인프라 확충,초등돌봄교실,"돌봄, 교육 및 일부 급?간식비 지원",초등학교 1학년 ~ 6학년,학부모 수요 및 학교 여건에 따라 돌봄이 꼭 필요한 학생을 대상으로 학생 선정,"아침돌봄(수업 전), 오후돌봄, 방과후학교연계형 돌봄교실(13:00~17:00), 저녁돌봄(17:00~), 방학 중 오전돌봄(09:00~13:00)",,"6~9세,10세 이상",보육?돌봄,"강남구,강동구,강북구,강서구,관악구,광진구,구로구,금천구,노원구,도봉구,동대문구,동작구,마포구,서대문구,서초구,성동구,성북구,송파구,양천구,영등포구,용산구,은평구,종로구,중구,중랑구",https://icare.seoul.go.kr/icare/dolbomMENU1/dolbomMENU1_5/dolbomMENU1_5_1.jsp,.
육아,돌봄인프라, ,서울형어린이집,공인평가를 통하여 우수한 민간 어린이집을 선정하고 인건비 및 운영비를 지원함으로써 향상된 보육서비스를 안정적으로 제공,어린이집 입소 신청 및 등록,보육포털서비스 사이트를 통해 신청 후 서비스 이용,어린이집 보육시간 내,서울시 영유아담당관(02-2133-5113),연령무관,육아 - 돌봄인프라,서울시,https://iseoul.seoul.go.kr/portal/guide/noticeList.do?gubun=3,.
결혼,생활지원, ,청소년부모 청년취업사관학교 교육과정 우선선발,청년취업사관학교에서 교육 받기를 희망하는 청소년부모(자녀를 둔 24세 이하 청소년 부부) 우선선발,기초소양을 갖추고 취업의지가 있는 청소년부모,서울시 가족담당관(02-2133-6563) 문의,,서울시 가족담당관(02-2133-6563),연령무관,결혼 - 생활지원,서울시,.,.
육아,생활지원, ,한부모가족 자녀 교통비/교육비 지원 확대,저소득 한부모가족 자녀에 대한 교통비?교육비 지원,- 교육비: 기준 중위소득 63% 이하 한부모가족의 중?고등학생 자녀  - 교통비: 기준 중위소득 63% 이하 한부모가족의 중?고등학생 자녀,서울시 가족담당관(02-2133-6563) 문의,,서울시 가족담당관(02-2133-6563),12세 ~ 18세,육아 - 생활지원,서울시,.,.
탄생응원,난임 부부지원 확대,다태아 자녀안심 보험 지원,다태아 자녀안심 보험 지원,"- 보험가입 : ’24. 1. 1. 부터 출생한 서울시 거주 다태아 자동가입     ※ 타시도에서 출생한 다태아 서울시 전입시 자동가입, 서울시 거주 다태아 출생아 타시도 전출시 자동해지 - 보장기간 : 출생일로부터 2년  - 주요보장 : 응급실 내원비, 특정 전염병 진단비, 골절?화상 수술비, 상해 또는 질병치료 입원비, 암진단비 등 17개 항목 최대 3,000만원 지급  <img	src='/contents/commoneditor/202312222036518e6dbc53-71bf-4323-b081-597db41dc2c5.png'	alt='다태아 안심보험의 주요 보장 내용'>     ※ 정확한 세부 보장내용 계약보험사(메리츠화재보험) 약관 확인 필요",24. 1. 1. 부터 출생한 서울시 거주(주민등록) 다태아,"- 접수창구 : 메리츠화재보험 웹사이트(<a	href='http://mbi.seoul.insboon.com'	target='_blank'>mbi.seoul.insboon.com</a>) 등 - 구비서류 : 보험금 청구서, 주민등록등본, 출생증명서, 진료비영수증, 통장사본 등",,"메리츠화재보험 고객센터(☎ 1522-6545) - 서울시 저출생정책추진반(2133-5328), 서울시여성가족재단(810-5446)","임신?출산,0~2세","보육?돌봄,수당?급여,건강","강남구,강동구,강북구,강서구,관악구,광진구,구로구,금천구,노원구,도봉구,동대문구,동작구,마포구,서대문구,서초구,성동구,성북구,송파구,양천구,영등포구,용산구,은평구,종로구,중구,중랑구",.,http://mbi.seoul.insboon.com
